zarkis;1
Reshiram;Vivo
Aerodactyl;Vivo
Tyranitar;Vivo
Gengar;Vivo
Mew;Vivo
Charizard;Vivo
Magcargo;Vivo
Azumarill;Vivo
Psyduck;Vivo
Whiscash;Vivo
Ludicolo;Vivo
Quagsire;Vivo
Magikarp;Vivo
Spiritomb;Vivo
Aggron;Vivo
Mawile;Vivo
Excadrill;Vivo
Gigalith;Vivo
Steelix;Vivo
Noivern;Vivo
Gliscor;Vivo
Mamoswine;Vivo
Minior;Vivo
Shiftry;Vivo
Decidueye;Vivo
Ekans;Vivo
Arbok;Vivo
Meganium;Vivo
Trevenant;Vivo
Infernape;Vivo
Eevee;Vivo
Tauros;Vivo
Minun;Vivo
Umbreon;Vivo
Staraptor;Vivo
Emolga;Vivo
Plusle;Vivo
Froslass;Vivo
Tentacruel;Vivo
Kingler;Vivo
Samurott;Vivo
Lapras;Vivo
Dracovish;Vivo
Wailord;Vivo
